,entry,name
0,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,bulbasaur
1,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy.",bulbasaur
2,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.,bulbasaur
3,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger.",bulbasaur
4,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.",bulbasaur
5,"it can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",bulbasaur
6,There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger.,bulbasaur
7,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",bulbasaur
8,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,bulbasaur
9,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,bulbasaur
10,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",bulbasaur
11,"For some time after its birth, it grows by taking nourishment from the seed on its back.",bulbasaur
12,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",ivysaur
13,The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.,ivysaur
14,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,ivysaur
15,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.",ivysaur
16,The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.,ivysaur
17,"There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",ivysaur
18,"To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.",ivysaur
19,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",ivysaur
20,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.",ivysaur
21,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",ivysaur
22,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.,ivysaur
23,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,venusaur
24,The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.,venusaur
25,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",venusaur
